music_id,title,performer,release_date,album_type,medium,genre,rating,rating_count,cover_link
1396380,American Idiot,Green Day,2004-09-21,Explicit Lyrics,Audio CD,摇滚,9.0,72901,https://img2.doubanio.com/view/subject/s/public/s1485602.jpg
2134548,思念是一种病 OK,张震岳 Csun Yuk,2007-07-06,专辑,CD,流行,8.8,82485,https://img1.doubanio.com/view/subject/s/public/s2591057.jpg
3717116,無與倫比的美麗 无与伦比的美丽,苏打绿,2007-11-02,专辑,CD,流行,8.8,89921,https://img2.doubanio.com/view/subject/s/public/s2757483.jpg
2131595,亲爱的...我还不知道 親愛的…我還不知道,张悬,2007-07-20,专辑,CD,流行,8.8,65511,https://img2.doubanio.com/view/subject/s/public/s2604331.jpg
3801228,城市 The City,张悬,2009-05-22,专辑,CD,流行,8.7,64101,https://img1.doubanio.com/view/subject/s/public/s3786340.jpg
1394590,O,Damien Rice,2003,专辑,CD,流行,9.1,52839,https://img1.doubanio.com/view/subject/s/public/s2838077.jpg
1431596,Wake Me Up When September Ends 九月结束的时候叫醒我,Green Day,2005-06-13,单曲,CD,摇滚,9.4,54474,https://img1.doubanio.com/view/subject/s/public/s3572868.jpg
1406522,叶惠美 葉惠美 / Yeh Hui-Mei,周杰伦,2003-07-31,专辑,CD,流行,9.3,107373,https://img2.doubanio.com/view/subject/s/public/s29265961.jpg
1401853,七里香 Common Jasmin Orange,周杰伦,2004,专辑,CD,流行,9.1,164717,https://img9.doubanio.com/view/subject/s/public/s3737076.jpg
5351500,21,Adele,2011-01-24,专辑,CD,流行,9.3,73855,https://img9.doubanio.com/view/subject/s/public/s4527315.jpg
1788174,My Life Will...,张悬,2006-06-09,专辑,CD,流行,8.8,57672,https://img1.doubanio.com/view/subject/s/public/s1884457.jpg
1402531,寓言,王菲,2000,专辑,CD,流行,9.4,68634,https://img1.doubanio.com/view/subject/s/public/s3336480.jpg
6816154,你在煩惱什麼 你在烦恼什么,苏打绿,2011-11-11,专辑,CD,流行,9.0,58171,https://img9.doubanio.com/view/subject/s/public/s6987806.jpg
4738592,感官/世界 Senses Around,林宥嘉,2009-10-30,专辑,CD,流行,8.6,59472,https://img2.doubanio.com/view/subject/s/public/s4039591.jpg
1394568,Nevermind 别介意,Nirvana,1991,专辑,CD,摇滚,9.3,64761,https://img1.doubanio.com/view/subject/s/public/s1632580.jpg
1403832,八度空间 The Eight Dimensions,周杰伦,2002-07-19,专辑,CD,流行,9.2,90028,https://img9.doubanio.com/view/subject/s/public/s4598636.jpg
1422300,Jay,周杰伦,2000-11-13,专辑,Audio CD,流行,9.4,94434,https://img9.doubanio.com/view/subject/s/public/s8932514.jpg
1463061,Parachutes 降落伞,Coldplay,2000-07-10,专辑,CD,摇滚,9.2,54875,https://img2.doubanio.com/view/subject/s/public/s1400723.jpg
1405028,我要的幸福 My Desired Happiness,孙燕姿,2000-12-7,专辑,CD,流行,9.0,62251,https://img2.doubanio.com/view/subject/s/public/s3524071.jpg
1394547,还是会寂寞 Lonely Without You,陈绮贞,2000,专辑,CD,流行,9.1,53041,https://img1.doubanio.com/view/subject/s/public/s27076587.jpg
1394992,Let Go 展翅高飞,Avril Lavigne,2002,Enhanced,Audio CD,摇滚,8.9,56012,https://img2.doubanio.com/view/subject/s/public/s2652911.jpg
1436975,十一月的萧邦 November's Chopin,周杰伦,2005-11-01,专辑,CD,流行,8.9,97870,https://img9.doubanio.com/view/subject/s/public/s1456874.jpg
3313612,橙月 Orange Moon,方大同,2008-12-19,专辑,CD,放克/灵歌/R&B,8.6,50622,https://img1.doubanio.com/view/subject/s/public/s3405037.jpg
1900796,小宇宙 Little Universe,苏打绿,2006-10-20,专辑,CD,流行,8.9,52243,https://img9.doubanio.com/view/subject/s/public/s1883654.jpg
4323489,若你碰到他 若你碰到他,蔡健雅,2009-08-19,专辑,CD,流行,8.1,51575,https://img9.doubanio.com/view/subject/s/public/s3942165.jpg
1394763,Lady & Bird,Lady & Bird,2003,Import,Audio CD,民谣,8.8,43641,https://img1.doubanio.com/view/subject/s/public/s2376100.jpg
5344708,万能青年旅店,万能青年旅店,2010-11-12,专辑,CD,摇滚,9.5,88616,https://img1.doubanio.com/view/subject/s/public/s4614409.jpg
1395785,Meteora 流星圣殿,Linkin Park,2003-03-25,Enhanced,Audio CD,摇滚,9.1,45521,https://img1.doubanio.com/view/subject/s/public/s1401378.jpg
1401550,Back To Bedlam 不安於室,James Blunt,2004,Explicit Lyrics,Audio CD,流行,9.0,43370,https://img2.doubanio.com/view/subject/s/public/s1461123.jpg
1421488,苏打绿同名专辑,"苏打绿,蘇打綠",2005年9月,国语,CD,流行,8.9,54480,https://img1.doubanio.com/view/subject/s/public/s2360790.jpg
3427630,静茹&情歌 别再为他流泪 别再为他流泪,梁静茹,2009-01-16,专辑,Audio CD,流行,8.5,47210,https://img9.doubanio.com/view/subject/s/public/s3551584.jpg
6113840,美妙生活 Perfect Life,林宥嘉,2011-05-06,专辑,CD,流行,8.7,48882,https://img2.doubanio.com/view/subject/s/public/s6201192.jpg
1394798,Le Fabuleux destin d'Amélie Poulain 天使爱美丽,Yann Tiersen,2001-04-23,Soundtrack,Audio CD,原声,9.4,44720,https://img1.doubanio.com/view/subject/s/public/s2881998.jpg
3335374,Joanna & 王若琳,王若琳,2009-01-16,专辑,CD,爵士,8.3,43186,https://img2.doubanio.com/view/subject/s/public/s3550503.jpg
1776145,A Plea En Vendredi,Tamas Wells,2006,Import,Audio CD,民谣,9.0,39422,https://img2.doubanio.com/view/subject/s/public/s2783063.jpg
4935955,To Hebe 給 自己,田馥甄 Hebe,2010-09-03,专辑,CD,流行,8.2,45300,https://img9.doubanio.com/view/subject/s/public/s4466905.jpg
2009904,逆光 Against the Light,孙燕姿,2007-03-22,Import,CD,流行,8.6,72013,https://img9.doubanio.com/view/subject/s/public/s2333326.jpg
3590980,只爱陌生人,王菲,1999-09-10,Import,CD,流行,9.4,58378,https://img1.doubanio.com/view/subject/s/public/s3390958.jpg
1960229,Music For Tourists,Chris Garneau,2007-01-23,引进版,Audio CD,民谣,8.8,39098,https://img9.doubanio.com/view/subject/s/public/s1989094.jpg
1402385,The Moment 关键时刻,孙燕姿,2003-08-22,专辑,CD,流行,9.1,43426,https://img1.doubanio.com/view/subject/s/public/s2794840.jpg
1406094,七,陈奕迅,2003-11-20,选集,CD,流行,9.4,43115,https://img9.doubanio.com/view/subject/s/public/s3169796.jpg
3671026,春·日光 日光,苏打绿,2009-05-08,专辑,CD,民谣,8.3,45862,https://img1.doubanio.com/view/subject/s/public/s3763169.jpg
3039969,100种生活,盧廣仲,2008-5-27,专辑,CD,民谣,8.4,42560,https://img1.doubanio.com/view/subject/s/public/s3128207.jpg
2282388,崇拜 J'adore,梁静茹,2007-11-09,专辑,CD,流行,8.6,49806,https://img1.doubanio.com/view/subject/s/public/s2758489.jpg
1408468,陈绮贞精选 Cheer 精选,陈绮贞,2005,选集,CD,民谣,9.2,36958,https://img9.doubanio.com/view/subject/s/public/s3232974.jpg
1419282,菊次郎の夏 Kikujiro (1999 Film),Joe Hisaishi,1999-05-19,专辑,CD,原声,9.5,50188,https://img2.doubanio.com/view/subject/s/public/s3272681.jpg
3220185,Fearless 无畏,Taylor Swift,2008-11-11,Enhanced,Audio CD,流行,8.7,54177,https://img2.doubanio.com/view/subject/s/public/s3315133.jpg
1968390,Life In Cartoon Motion,Mika,2007-02-05,专辑,CD,流行,8.8,37128,https://img2.doubanio.com/view/subject/s/public/s2657592.jpg
3603814,H³M H3M,陈奕迅,2009-03-23,专辑,CD,流行,8.7,45096,https://img9.doubanio.com/view/subject/s/public/s3666735.jpg
3076388,神秘嘉宾 神秘嘉宾,林宥嘉,2008-06-03,专辑,CD,流行,8.5,46216,https://img9.doubanio.com/view/subject/s/public/s3113075.jpg
1394803,Les Choristes 放牛班的春天,Bruno Coulais,2004-05-03,Soundtrack,Audio CD,原声,9.5,38042,https://img9.doubanio.com/view/subject/s/public/s1400055.jpg
3871896,赤子 Innocent,范晓萱&100%,2009-08-10,专辑,CD,摇滚,8.2,39724,https://img2.doubanio.com/view/subject/s/public/s3902012.jpg
1889074,9,Damien Rice,2006-11-06,专辑,Audio CD,民谣,9.0,36976,https://img2.doubanio.com/view/subject/s/public/s1831581.jpg
1401392,将爱,王菲,2003,专辑,CD,流行,8.9,47829,https://img2.doubanio.com/view/subject/s/public/s2726841.jpg
1449452,遇见我,曹方,2005年12月,专辑,CD,流行,8.4,39650,https://img1.doubanio.com/view/subject/s/public/s1462740.jpg
1958731,梵高先生 B&BⅡ,李志,2007-01-11,CD,CD,民谣,9.1,52429,https://img1.doubanio.com/view/subject/s/public/s3743777.jpg
3821598,Timeless 可啦思刻 方大同 2009全新大碟 自選輯 / 可啦思刻,方大同,2009-08-11,自选集,CD,放克/灵歌/R&B,8.4,38318,https://img2.doubanio.com/view/subject/s/public/s27078161.jpg
2210561,依然范特西 Still Fantasy,周杰伦,2006-09-05,专辑,CD,流行,8.6,73076,https://img9.doubanio.com/view/subject/s/public/s1943885.jpg
1407437,风筝 Kite,孙燕姿,2001-07-09,专辑,CD,流行,8.9,45130,https://img9.doubanio.com/view/subject/s/public/s6569456.jpg
4725615,完美的一天 A Perfect Day,孙燕姿,2005-10-07,专辑,CD,流行,8.3,46086,https://img2.doubanio.com/view/subject/s/public/s1646682.jpg
